Date,Discharge
2017-08-06,6304.225
2017-08-07,6407.141
2017-08-08,6451.9795
2017-08-09,6504.0864
2017-08-10,6519.2437
2017-08-11,6514.747
2017-08-12,6520.195
2017-08-13,6531.387
2017-08-14,6529.371
2017-08-15,6470.4385
2017-08-16,6421.266
2017-08-17,6338.8843
2017-08-18,6241.7383
2017-08-19,6160.4536
2017-08-20,6091.7197
2017-08-21,6017.3193
2017-08-22,5894.118
2017-08-23,5789.1943
2017-08-24,5659.8115
2017-08-25,5524.472
2017-08-26,5413.6978
2017-08-27,5323.913
2017-08-28,5236.492
2017-08-29,5107.76
2017-08-30,5004.1416
2017-08-31,4882.151
2017-09-01,4759.47
2017-09-02,4665.7466
2017-09-03,4596.5005
2017-09-04,4532.1953
2017-09-05,4428.2573
2017-09-06,4350.2485
2017-09-07,4253.871
2017-09-08,4156.066
2017-09-09,4085.82
2017-09-10,4038.093
2017-09-11,3992.8884
2017-09-12,3905.2842
2017-09-13,3840.6072
2017-09-14,3754.4368
2017-09-15,3663.7024
2017-09-16,3597.4836
2017-09-17,3550.9292
2017-09-18,3504.3179
2017-09-19,3413.078
2017-09-20,3342.9465
2017-09-21,3249.9607
2017-09-22,3151.5378
2017-09-23,3077.2612
2017-09-24,3022.7847
2017-09-25,2968.8774
2017-09-26,2871.4312
2017-09-27,2796.6064
2017-09-28,2700.8135
2017-09-29,2601.783
2017-09-30,2529.3464
2017-10-01,2479.3337
2017-10-02,2432.617
2017-10-03,2345.1172
2017-10-04,2282.9514
2017-10-05,2202.4175
2017-10-06,2121.0703
2017-10-07,2068.5095
2017-10-08,2040.2839
2017-10-09,2016.947
2017-10-10,1954.0717
2017-10-11,1917.4082
2017-10-12,1862.8809
2017-10-13,1807.6733
2017-10-14,1781.0266
2017-10-15,1778.1533
2017-10-16,1779.2998
2017-10-17,1739.77
2017-10-18,1725.0876
2017-10-19,1690.9967
2017-10-20,1654.551
2017-10-21,1644.9115
2017-10-22,1657.2614
2017-10-23,1671.8658
2017-10-24,1644.0919
2017-10-25,1639.5671
2017-10-26,1614.1742
2017-10-27,1585.1335
2017-10-28,1581.795
2017-10-29,1599.5441
2017-10-30,1618.8549
2017-10-31,1595.3029
2017-11-01,1594.716
2017-11-02,1573.1632
2017-11-03,1548.0309
2017-11-04,1548.8099
2017-11-05,1570.9979
2017-11-06,1595.1497
2017-11-07,1576.8876
2017-11-08,1582.0537
2017-11-09,1566.6973
2017-11-10,1548.1545
2017-11-11,1555.8379
2017-11-12,1585.1416
2017-11-13,1616.498
2017-11-14,1605.3918
2017-11-15,1617.5182
2017-11-16,1608.776
2017-11-17,1596.3538
